StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q1,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q1,Q2,Q3,Q4,Q5,Q6,Q6_16_TEXT,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q1,Q2,Q3,Q4,Q5,Q5_13_TEXT,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q1,Q2,Q3,Q4,Q5,Q5_17_TEXT,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q1,Q2,Q3,Q4,Q4_4_TEXT,Q5,Q5_13_TEXT,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q1,Q1_11_TEXT,Q2,Q2_11_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q1,Q1_9_TEXT,Q2,Q2_7_TEXT,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q5,Q5_7_TEXT,Q6,Q7,Q8,Q8_4_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Voluntary Consent:
Please review all the information on this form before deciding whether or not you would like to participate. Taking part in this research study is strictly voluntary. If you choose to take part, you have the right to stop at any time or skip any part of the research that you may wish. If you do not wish to participate, you are free to close this page.

If you wish to participate, please click the ‘Agree’ button below. By clicking ‘Agree’ below, you are attesting that you have read the above information, that you understand the tasks and risks associated with the study, and that you have had the chance to ask any questions that you may have and that you are aware that you can contact the researchers now or in the future if concerns arise. By clicking ‘agree’, you are attesting that you understand that your participation is entirely voluntary and that you can choose to discontinue your participation at any time. By clicking ‘agree’, you are attesting that you are at least 18 years of age. Lastly, clicking 'agree', you are providing your consent to participate in this study.",What is your experience with open science practices?,"Rate your familiarity with each of the following terms as they pertain to open science practices (1 = not at all familiar, 3 = slightly familiar, 5 = somewhat familiar, 7 = moderately familiar, 10 = extremely familiar): - Preprint","Rate your familiarity with each of the following terms as they pertain to open science practices (1 = not at all familiar, 3 = slightly familiar, 5 = somewhat familiar, 7 = moderately familiar, 10 = extremely familiar): - Independent repository","Rate your familiarity with each of the following terms as they pertain to open science practices (1 = not at all familiar, 3 = slightly familiar, 5 = somewhat familiar, 7 = moderately familiar, 10 = extremely familiar): - Scholarly work","Rate your familiarity with each of the following terms as they pertain to open science practices (1 = not at all familiar, 3 = slightly familiar, 5 = somewhat familiar, 7 = moderately familiar, 10 = extremely familiar): - Open data","Rate your familiarity with each of the following terms as they pertain to open science practices (1 = not at all familiar, 3 = slightly familiar, 5 = somewhat familiar, 7 = moderately familiar, 10 = extremely familiar): - Independent study registry",What is your opinion of sharing preprints in an independent repository?,How would you rate your knowledge of posting preprints in an independent repository?,"Approximately how many of the publications you have authored or co-authored have preprints shared in an independent repository? Please enter a number between 0-100, enter 0 if not applicable.","Approximately when was the first time you shared a preprint in an independent repository? Please enter a year (e.g., 1957) or 0 if not applicable.",Think about your most recent completed scholarly work that you published or intend(ed) to publish. Was the scholarly work shared as a preprint in an independent repository?,Did any of the following reasons make you hesitate before sharing a preprint? Check all that apply. - Selected Choice,Did any of the following reasons make you hesitate before sharing a preprint? Check all that apply. - Other (explain below) - Text,"In your estimation, what percentage of researchers across your discipline have shared a preprint in an independent repository? Please enter a number between 0-100.","In your estimation, what is the distribution of opinion across behavior analysis about sharing preprints in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing preprints to very much in favor of sharing preprints (must equal 100%)? - Very much against","In your estimation, what is the distribution of opinion across behavior analysis about sharing preprints in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing preprints to very much in favor of sharing preprints (must equal 100%)? - Against","In your estimation, what is the distribution of opinion across behavior analysis about sharing preprints in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing preprints to very much in favor of sharing preprints (must equal 100%)? - Neither in favor nor against (i.e., neutral)","In your estimation, what is the distribution of opinion across behavior analysis about sharing preprints in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing preprints to very much in favor of sharing preprints (must equal 100%)? - In favor","In your estimation, what is the distribution of opinion across behavior analysis about sharing preprints in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing preprints to very much in favor of sharing preprints (must equal 100%)? - Very much in favor",What is your opinion of preregistration?,How would you rate your knowledge of preregistering a study?,"Approximately how many of the scholarly works you have authored or co-authored include preregistered studies? Please enter a number between 0-100, enter 0 if not applicable.","Approximately when was the first time you preregistered a study? Please enter a year (e.g., 1957) or 0 if not applicable.",Did any of the following reasons make you hesitate before preregistering? Check all that apply. - Selected Choice,Did any of the following reasons make you hesitate before preregistering? Check all that apply. - Other (explain below) - Text,Think about your most recent empirical scholarly work that you published or intend(ed) to publish. Did the scholarly work include a preregistered study?,"In your estimation, what percentage of researchers across your discipline have preregistered a study? Please enter a number between 0-100.","In your estimation, what is the distribution of opinion across your discipline about preregistration? In other words, what percentage of researchers fall into each opinion category listed below from Very much against preregistration to very much in favor of preregistration (must equal 100)? - Very much against","In your estimation, what is the distribution of opinion across your discipline about preregistration? In other words, what percentage of researchers fall into each opinion category listed below from Very much against preregistration to very much in favor of preregistration (must equal 100)? - Against","In your estimation, what is the distribution of opinion across your discipline about preregistration? In other words, what percentage of researchers fall into each opinion category listed below from Very much against preregistration to very much in favor of preregistration (must equal 100)? - Neither in favor nor against (i.e., neutral)","In your estimation, what is the distribution of opinion across your discipline about preregistration? In other words, what percentage of researchers fall into each opinion category listed below from Very much against preregistration to very much in favor of preregistration (must equal 100)? - In favor","In your estimation, what is the distribution of opinion across your discipline about preregistration? In other words, what percentage of researchers fall into each opinion category listed below from Very much against preregistration to very much in favor of preregistration (must equal 100)? - Very much in favor",What is your opinion of sharing data in an independent repository?,How would you rate your knowledge of sharing data to independent repositories?,"Approximately how many of the empirical scholarly works you have authored or co-authored have data shared in an independent repository? Please enter a number between 0-100, enter 0 if not applicable.","Approximately when was the first time you shared data in an independent repository? Please enter a year (e.g., 1957) or 0 if not applicable.",Did any of the following reasons make you hesitate before sharing data in an independent repository? Check all that apply. - Selected Choice,Did any of the following reasons make you hesitate before sharing data in an independent repository? Check all that apply. - Other (explain below) - Text,Think about your most recent empirical scholarly work that you published or intend(ed) to publish. Are data for that empirical scholarly work shared in an independent repository?,"In your estimation, what percentage of researchers across behavior analysis have shared data in an independent repository? Please enter a number between 0-100.","In your estimation, what is the distribution of opinion across behavior analysis about sharing data in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing data to very much in favor of sharing data (must equal 100)? - Very much against","In your estimation, what is the distribution of opinion across behavior analysis about sharing data in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing data to very much in favor of sharing data (must equal 100)? - Against","In your estimation, what is the distribution of opinion across behavior analysis about sharing data in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing data to very much in favor of sharing data (must equal 100)? - Neither in favor nor against (i.e., neutral)","In your estimation, what is the distribution of opinion across behavior analysis about sharing data in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing data to very much in favor of sharing data (must equal 100)? - In favor","In your estimation, what is the distribution of opinion across behavior analysis about sharing data in an independent repository? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing data to very much in favor of sharing data (must equal 100)? - Very much in favor",What is your opinion of sharing materials?,"Approximately how many of the scholarly works you have authored or co-authored shared study materials? Please enter a number between 0-100, enter 0 if not applicable.","Approximately when was the first time you shared study materials? Please enter a year (e.g., 1957) or 0 if not applicable.",In what ways have you shared materials? Check all that apply. - Selected Choice,In what ways have you shared materials? Check all that apply. - Other (explain below) - Text,Did any of the following reasons make you hesitate before sharing materials? Check all that apply. - Selected Choice,Did any of the following reasons make you hesitate before sharing materials? Check all that apply. - Other (explain below) - Text,Think about your most recent empirical scholarly work that you published or intend(ed) to publish. Did the scholarly work share study materials?,"In your estimation, what percentage of researchers across your discipline have shared study materials? Please enter a number between 0-100.","In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - Very much against","In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - Against","In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - Neither in favor nor against (i.e., neutral)","In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - In favor","In your estimation, what is the distribution of opinion across your discipline about sharing study materials? In other words, what percentage of researchers fall into each opinion category listed below from Very much against sharing materials to very much in favor of sharing materials  (must equal 100)? - Very much in favor","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of knowledge of open science practices","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Too time consuming/lack of support","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Researchers do not want to share their ideas/data","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of knowledge of suitable registries","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - It does not seem relevant ","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Opposition from collaborators ","Please rank the potential barriers to engaging open science practices, with the first item being the greatest barrier. - Lack of direct benefit to the researcher",Which of the following barriers have you experienced? Check all that apply.,"Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Including training in graduate programs","Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Increasing support from superiors","Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via workshops","Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via webinars","Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Training via article tutorials","Please rank the opportunities to increase knowledge of open science practices, with the first item being the most impactful opportunity. - Access to resources (e.g., suitable registries)","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Including training in graduate programs","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Increasing support from superiors","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via workshops","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via webinars","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Training via article tutorials","Please rank the ways to increase use of open science practices, with the first item being the most impactful way. - Access to resources (e.g., suitable registries)","From which sources have you learned about preprints, open data, and/or preregistration? Check all that apply. - Selected Choice","From which sources have you learned about preprints, open data, and/or preregistration? Check all that apply. - Other (explain below) - Text","How would you like to learn more about preprints, open data, and preregistration? Check all that apply. - Selected Choice","How would you like to learn more about preprints, open data, and preregistration? Check all that apply. - Other (explain below) - Text","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Post a preprint","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Read or download a preprint online","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Make my data open","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Access open data online","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Preregister a project","Please rate your agreement with the following statement:


I plan to _____ within the next two years. - Read a preregistration online",How do you identify yourself on the basis of race/ethnicity? Check all that apply. - Selected Choice,How do you identify yourself on the basis of race/ethnicity? Check all that apply. - Prefer to self-describe: - Text,How do you identify yourself on the basis of gender? - Selected Choice,How do you identify yourself on the basis of gender? - Prefer to self-describe: - Text,"As a behavior analyst, how do you identify? - Selected Choice","As a behavior analyst, how do you identify? - Other (please explain) - Text",Which best describes your primary work setting? - Selected Choice,Which best describes your primary work setting? - Other (please explain) - Text,What is your current position? - Selected Choice,What is your current position? - Other (please explain) - Text,How many years have you been at your current position? Please enter a number between 0-100.,Approximately how many publications have you authored or co-authored? Please enter a number between 0-1000.,Which type of research do you most often conduct? - Selected Choice,Which type of research do you most often conduct? - Other (Please explain) - Text
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_16_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_13_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_17_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_4_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_13_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID41_7""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID43_6""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_11_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_11_TEXT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID47_4""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_9_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_7_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_6_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_6_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_7_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_4_TEXT""}"
4/24/24 21:41,4/24/24 21:45,IP Address,100,269,TRUE,4/24/24 21:45,R_11NsJbEIJHAuWKZ,anonymous,EN,1,Agree,,,,,,,,,,,,,,,0,0,100,0,0,,,,,,,,,0,0,100,0,0,,,,,,,,,0,0,100,0,0,,,,,,,,,,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/24 21:45,4/24/24 21:45,IP Address,100,5,TRUE,4/24/24 21:45,R_7yca9Qw4jbS8zTz,anonymous,EN,0.899999976,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/24 6:23,5/1/24 6:44,IP Address,100,1216,TRUE,5/1/24 6:44,R_5fqHoLpya54lXtM,anonymous,EN,0.100000001,Agree,"I am aware of open science, but have not used open science practices in my research",5,5,5,5,5,In favor,Moderate,0,0,Yes,"I was unfamiliar with the practice,I didn’t have sufficient resources available,I didn’t know of a suitable repository",,40,30,20,20,20,10,In favor,Moderate,0,0,"I didn't perceive my field to be in favor of this,I was unfamiliar with the practice,I didn't know of a suitable registry",,Yes,30,40,10,20,15,15,In favor,Low,0,0,"The data were proprietary, or access was restricted,The data were already available in a repository",,No,10,45,15,10,15,15,Very much in favor,30,0,"Comment in the manuscript that I can be contacted for materials,Repository",,I was worried it would reduce publishability of my findings ,,No,0,20,20,20,20,20,2,1,3,4,5,6,7,"Lack of knowledge of open science practices,Too time consuming/lack of support",2,1,4,5,6,3,2,1,3,4,5,6,"Conference presentation or workshop,Training from professional organizations,Online webinar, blog, or podcast,Social media",,"Training from your institution,Online webinar, blog, or podcast,Social media",,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Black or African American,,Cisgender man,,Basic researcher,,University,,Assistant Professor ,,3,0,I mainly conduct group design research,
5/1/24 7:08,5/1/24 7:24,IP Address,100,978,TRUE,5/1/24 7:24,R_5KeDomeajA5SidH,anonymous,EN,0.100000001,Agree,"I am aware of open science, but have not used open science practices in my research",3,3,2,3,2,"Neither in favor nor against (i.e., neutral)",None,0,0,I don't have any scholarly work,,,20,40,20,10,15,15,"Neither in favor nor against (i.e., neutral)",Moderate,0,0,"It was too difficult,I didn't know of a suitable registry",,I don't have any scholarly work,25,30,20,20,15,15,In favor,Low,0,0,"The data were too difficult to anonymize (human subjects),The data were already available in a repository,I didn’t want to lose control over how the data were used",,I don't have any scholarly work,20,30,30,20,10,10,In favor,0,0,"Supplemental materials,Repository",,"It was too difficult,I was worried it would reduce publishability of my findings ",,I don't have any empirical scholarly work,40,20,10,30,30,10,3,4,1,5,6,7,2,"Lack of knowledge of open science practices,Too time consuming/lack of support,Lack of knowledge of suitable registries",2,1,4,5,6,3,2,1,3,5,4,6,"Mentor or advisor,Online webinar, blog, or podcast,Social media",,"Conference presentation or workshop,Training from your institution,Journal club",,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,American Indian or Alaska Native,,Cisgender woman,,Basic researcher,,School-based,,Doctoral Student ,,2,0,I mainly conduct group design research,
5/1/24 8:06,5/1/24 8:13,IP Address,100,406,TRUE,5/1/24 8:13,R_2sgMevIT6v1wsiy,anonymous,EN,0.899999976,Agree,I have some experience with open science practices,10,9,10,10,9,In favor,Low,0,0,No,,,5,0,80,0,20,0,In favor,Low,0,0,"I was unfamiliar with the practice,I didn't know of a suitable registry,I was worried it would reduce publishability of my findings ",,No,2,0,0,80,20,0,In favor,Low,0,0,"I was unfamiliar with the practice,I didn't know of a suitable repository,It didn't seem relevant for my work,Other (explain below)",In single case design sometimes our data are fully displayed in graphs,No,5,0,0,80,20,0,Very much in favor,20,2015,"Supplemental materials,Comment in the manuscript that I can be contacted for materials",,,,Yes,50,0,5,15,80,0,1,2,4,3,6,7,5,"Lack of knowledge of open science practices,Lack of knowledge of suitable registries",1,4,2,5,6,3,1,4,2,5,6,3,"Conference presentation or workshop,Training from professional organizations,Training from your institution,Mentor or advisor,Colleague or peer,Online webinar, blog, or podcast,Social media",,"Conference presentation or workshop,Training from professional organizations,Training from your institution,Mentor or advisor,Colleague or peer,Online webinar, blog, or podcast,Social media",,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,White,,Cisgender woman,,Applied researcher,,University,,Associate Professor,,1,60,Other (Please explain),Mix of all 3
5/1/24 8:42,5/1/24 8:50,IP Address,100,495,TRUE,5/1/24 8:50,R_2X7fe7EdUHGzwan,anonymous,EN,1,Agree,"I am aware of open science, but have not used open science practices in my research",10,8,10,8,0,Very much in favor,None,0,0,No,,,10,5,10,30,30,25,Against,None,0,0,,,No,2,25,50,10,10,5,"Neither in favor nor against (i.e., neutral)",Moderate ,0,0,"It was too time consuming,I was nervous that someone would discover a mistake,I was unfamiliar with the practice,I didn’t want to lose control over how the data were used,I didn't want to be asked questions about using data,I didn't want to have to update the data with fixes",,No,20,5,20,50,15,10,In favor,1,0,"Supplemental materials,Comment in the manuscript that I can be contacted for materials",,,,"No, there were not original materials to share",20,5,5,15,50,25,2,1,4,5,6,3,7,"Lack of knowledge of open science practices,Too time consuming/lack of support,I did not want to share my ideas/data,Lack of knowledge of suitable registries,Lack of direct benefit to me",6,3,5,4,2,1,6,3,5,4,2,1,Journal publication or scholarly work,,Journal publication or scholarly work,,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Asian,,Cisgender woman,,Basic researcher,,University,,Assistant Professor ,,3,25,I mainly conduct systematic reviews and meta-analyses,
5/1/24 9:12,5/1/24 9:20,IP Address,100,511,TRUE,5/1/24 9:20,R_3plEvYF7ATcMtEq,anonymous,EN,0.899999976,Agree,I have some experience with open science practices,10,10,10,10,3,Very much against,High,0,0,No,,,20,30,20,10,10,30,Very much against,Moderate,0,0,"It was too time consuming,I didn't want others to use my plans for their own research,I was nervous that someone would discover a mistake,I was worried it would reduce publishability of my findings ,I won't be credited for it",,No,10,40,30,15,10,5,Very much against,High,0,0,"The data were proprietary, or access was restricted,I didn't want others to use the data for their own research,The data were too difficult to anonymize (human subjects),I was nervous that someone would discover a mistake,I didn’t want to lose control over how the data were used,I didn't want to be asked questions about using data,I didn't want to have to update the data with fixes",,No,5,65,10,10,5,10,In favor,5,2018,"Supplemental materials,Comment in the manuscript that I can be contacted for materials",,I was nervous that someone would discover a mistake,,Yes,45,20,10,10,30,30,3,2,1,4,5,6,7,"I did not want to share my ideas/data,It did not seem relevant ,Lack of direct benefit to me",6,5,3,2,4,1,6,5,3,2,4,1,"Conference presentation or workshop,Journal publication or scholarly work,Training from your institution,Mentor or advisor,Colleague or peer,Online webinar, blog, or podcast,Social media",,"Conference presentation or workshop,Journal publication or scholarly work,Colleague or peer,Journal club",,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Prefer not to say,,Prefer not to say,,Translational researcher,,University,,Assistant Professor ,,5,45,I mainly conduct single-case design research,
5/1/24 9:19,5/1/24 9:34,IP Address,100,932,TRUE,5/1/24 9:34,R_76ZOCcgEswTA0G5,anonymous,EN,0.800000012,Agree,I have some experience with open science practices,7,9,9,9,9,In favor,Moderate,1,2022,No,,,20,10,30,20,30,10,In favor,Low,0,0,"I was unfamiliar with the practice,I didn't know of a suitable registry,It didn't seem relevant for my work",,No,5,40,20,20,15,5,Very much in favor,Moderate ,2,2022,The data were too difficult to anonymize (human subjects),,Yes,8,30,20,30,15,5,Very much in favor,2,2022,"Supplemental materials,Repository",,I was unfamiliar with the practice,,Yes,80,10,10,20,30,30,1,3,5,4,2,6,7,"It did not seem relevant ,Opposition from collaborators ",2,5,3,1,4,6,3,6,4,5,1,2,"Conference presentation or workshop,Journal publication or scholarly work,Training from your institution,Journal club",,"Training from professional organizations,Online webinar, blog, or podcast,Social media",,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,"Hispanic, Latino, or Spanish",,Cisgender woman,,Translational researcher,,University,,Doctoral Student ,,3,3,I mainly conduct group design research,
